"Name","Date","Open","High","Low","Close","Volume"
"BVMF:PETR4","06/04/2026 16:56:00",47.99,49,47.88,48.94,27848100
"BVMF:PETR4","07/04/2026 16:56:00",49.09,49.56,48.4,48.51,33362800
"BVMF:PETR4","08/04/2026 16:56:00",44.7,46.64,44.53,46.61,87580500
"BVMF:PETR4","09/04/2026 16:56:00",47.54,48.55,47.03,47.9,58206500
"BVMF:PETR4","10/04/2026 16:56:00",47.53,49.03,47.53,49.03,42860900
"BVMF:PETR4","13/04/2026 16:56:00",49.75,50.24,49.25,49.78,60941100
"BVMF:PETR4","14/04/2026 16:56:00",49.61,49.65,47.67,47.88,58646800
"BVMF:PETR4","15/04/2026 16:56:00",47.95,48.1,46.73,46.89,61852100
"BVMF:PETR4","16/04/2026 16:56:00",47.29,48.68,46.76,48.58,54484300
"BVMF:PETR4","17/04/2026 16:56:00",46.5,46.55,44.87,46.22,105186900
"BVMF:PETR4","20/04/2026 16:56:00",47.24,47.48,46.51,47.02,41904500
"BVMF:PETR4","22/04/2026 16:56:00",47.64,47.98,47.25,47.67,51063000
"BVMF:PETR4","23/04/2026 16:56:00",47.36,48.08,46.9,47.77,38666800
"BVMF:PETR4","24/04/2026 16:56:00",47.5,47.52,46.45,47.16,34880200
"BVMF:PETR4","27/04/2026 16:56:00",47.22,48.17,47.17,47.37,31543600
"BVMF:PETR4","28/04/2026 16:56:00",47.65,48.04,47.46,47.52,29389700
"BVMF:PETR4","29/04/2026 16:56:00",48.1,49.3,48,48.96,47685000
"BVMF:PETR4","30/04/2026 16:56:00",48.81,49.38,48.29,49.08,36666100
"BVMF:PETR4","04/05/2026 16:56:00",49.28,49.85,48.92,49.34,41319600
"BVMF:VALE3","06/04/2026 16:56:00",84.04,84.22,82.8,83.09,8680700
"BVMF:VALE3","07/04/2026 16:56:00",83.05,83.7,82.6,83.69,15312500
"BVMF:VALE3","08/04/2026 16:56:00",86.5,86.72,84.73,85.59,24942400
"BVMF:VALE3","09/04/2026 16:56:00",85.36,85.54,84.26,84.69,17973100
"BVMF:VALE3","10/04/2026 16:56:00",85,86.39,84.58,85.59,24002400
"BVMF:VALE3","13/04/2026 16:56:00",85.11,87.36,84.92,87.36,24661900
"BVMF:VALE3","14/04/2026 16:56:00",87.5,88.54,87.18,88.3,18528400
"BVMF:VALE3","15/04/2026 16:56:00",88.15,89.08,87.89,88.44,24527300
"BVMF:VALE3","16/04/2026 16:56:00",88.89,89.39,87.1,87.44,13618900
"BVMF:VALE3","17/04/2026 16:56:00",88.2,89.75,87.8,89.75,30119000
"BVMF:VALE3","20/04/2026 16:56:00",88.8,89.44,88.03,88.73,16067700
"BVMF:VALE3","22/04/2026 16:56:00",87.95,88.73,87.22,87.22,13222100
"BVMF:VALE3","23/04/2026 16:56:00",86.64,87.17,85.71,85.97,12637500
"BVMF:VALE3","24/04/2026 16:56:00",85.97,86.99,85.75,85.87,11436400
"BVMF:VALE3","27/04/2026 16:56:00",86.15,86.3,84.89,85.5,8656600
"BVMF:VALE3","28/04/2026 16:56:00",84.7,85.3,84.05,84.39,13687500
"BVMF:VALE3","29/04/2026 16:56:00",82.8,82.91,79.25,79.44,43296200
"BVMF:VALE3","30/04/2026 16:56:00",81.03,81.7,80.21,81.18,17593900
"BVMF:VALE3","04/05/2026 16:56:00",81.18,81.36,78.65,78.66,18555600
"BVMF:ITUB4","06/04/2026 16:56:00",43.35,43.74,43.2,43.49,11004600
"BVMF:ITUB4","07/04/2026 16:56:00",43.3,43.47,42.64,43.46,20302000
"BVMF:ITUB4","08/04/2026 16:56:00",45.7,45.73,44.7,44.98,35777600
"BVMF:ITUB4","09/04/2026 16:56:00",45.2,45.96,44.99,45.75,22162900
"BVMF:ITUB4","10/04/2026 16:56:00",45.83,46.38,45.77,46.07,29705900
"BVMF:ITUB4","13/04/2026 16:56:00",45.76,46.04,45.24,45.83,31011600
"BVMF:ITUB4","14/04/2026 16:56:00",46,46.84,45.85,46.53,23343300
"BVMF:ITUB4","15/04/2026 16:56:00",46.37,47.41,46.37,47.04,28907200
"BVMF:ITUB4","16/04/2026 16:56:00",47.27,47.47,46.52,46.98,22566300
"BVMF:ITUB4","17/04/2026 16:56:00",47.5,47.9,46.75,46.8,39165500
"BVMF:ITUB4","20/04/2026 16:56:00",46.8,47.03,46.23,46.37,19194500
"BVMF:ITUB4","22/04/2026 16:56:00",46.26,46.26,44.98,45.03,25440000
"BVMF:ITUB4","23/04/2026 16:56:00",44.9,45.12,44.12,44.18,20444200
"BVMF:ITUB4","24/04/2026 16:56:00",44.46,44.52,43.89,44.37,18234600
"BVMF:ITUB4","27/04/2026 16:56:00",44.5,44.56,43.98,43.99,13718400
"BVMF:ITUB4","28/04/2026 16:56:00",43.68,44.61,43.2,44.1,27131800
"BVMF:ITUB4","29/04/2026 16:56:00",43.85,44.01,42.76,42.87,18628100
"BVMF:ITUB4","30/04/2026 16:56:00",43.32,43.56,43.13,43.19,22735500
"BVMF:ITUB4","04/05/2026 16:56:00",43.11,43.25,42.25,42.4,25336300
"BVMF:BBDC4","06/04/2026 16:56:00",19.18,19.38,19.14,19.33,27976500
"BVMF:BBDC4","07/04/2026 16:56:00",18.93,19.21,18.77,19.21,24923500
"BVMF:BBDC4","08/04/2026 16:56:00",20.55,20.55,19.83,20.17,67537800
"BVMF:BBDC4","09/04/2026 16:56:00",20.2,20.37,19.99,20.29,32822000
"BVMF:BBDC4","10/04/2026 16:56:00",20.48,20.64,20.34,20.44,33816800
"BVMF:BBDC4","13/04/2026 16:56:00",20.23,20.71,20.12,20.59,34692500
"BVMF:BBDC4","14/04/2026 16:56:00",20.71,20.97,20.68,20.78,32893100
"BVMF:BBDC4","15/04/2026 16:56:00",20.66,20.98,20.61,20.8,37389800
